run,thread_Dedup,thread_Swaptions,startTime,end_Dedup,end_Swaptions
4,2,2,1522238958.0,1522238972.5,1522239120.8
4,32,1,1522239120.9,1522239139.9,1522239443.8
4,16,1,1522239443.9,1522239461.5,1522239766.8
4,8,1,1522239766.9,1522239783.4,1522240089.3
4,4,1,1522240089.4,1522240100.2,1522240412.1
4,2,1,1522240412.2,1522240425.8,1522240734.4
5,32,32,1522240734.5,1522240788.0,1522240776.1
5,16,32,1522240788.1,1522240839.2,1522240829.6
5,8,32,1522240839.3,1522240890.4,1522240880.1
5,4,32,1522240890.5,1522240937.5,1522240932.5
5,2,32,1522240937.6,1522240988.5,1522240978.5
5,32,16,1522240988.6,1522241042.1,1522241030.5
5,16,16,1522241042.2,1522241092.5,1522241082.6
5,8,16,1522241092.6,1522241140.4,1522241133.1
5,4,16,1522241140.5,1522241190.0,1522241184.7
5,2,16,1522241190.1,1522241240.2,1522241230.2
5,32,8,1522241240.3,1522241257.6,1522241285.0
5,16,8,1522241285.1,1522241301.0,1522241327.5
5,8,8,1522241327.6,1522241340.3,1522241372.7
5,4,8,1522241372.8,1522241383.7,1522241418.4
5,2,8,1522241418.5,1522241432.5,1522241465.7
5,32,4,1522241465.8,1522241479.3,1522241548.5
5,16,4,1522241548.6,1522241570.4,1522241634.6
5,8,4,1522241634.7,1522241642.7,1522241730.0
5,4,4,1522241730.1,1522241739.3,1522241812.3
5,2,4,1522241812.4,1522241825.8,1522241894.5
5,32,2,1522241894.6,1522241907.6,1522242058.9
5,16,2,1522242059.0,1522242071.1,1522242221.4
5,8,2,1522242221.5,1522242231.1,1522242384.5
5,4,2,1522242384.6,1522242393.1,1522242548.3
5,2,2,1522242548.4,1522242561.8,1522242711.9
5,32,1,1522242712.0,1522242724.7,1522243032.5
5,16,1,1522243032.6,1522243044.2,1522243355.2
5,8,1,1522243355.3,1522243364.5,1522243679.0
5,4,1,1522243679.1,1522243688.0,1522243998.0
5,2,1,1522243998.1,1522244011.5,1522244317.4
6,32,32,1522244317.5,1522244357.4,1522244350.6
6,16,32,1522244357.5,1522244394.2,1522244387.4
6,8,32,1522244394.3,1522244431.3,1522244425.3
6,4,32,1522244431.4,1522244467.0,1522244462.2
6,2,32,1522244467.1,1522244507.0,1522244498.5
6,32,16,1522244507.2,1522244544.6,1522244537.9
6,16,16,1522244544.7,1522244582.3,1522244576.7
6,8,16,1522244582.4,1522244615.4,1522244612.1
6,4,16,1522244615.5,1522244650.0,1522244647.7
6,2,16,1522244650.1,1522244689.1,1522244680.3
6,32,8,1522244689.2,1522244706.0,1522244740.4
6,16,8,1522244740.5,1522244755.5,1522244783.0
6,8,8,1522244783.1,1522244796.7,1522244828.7
6,4,8,1522244828.8,1522244839.2,1522244871.3
6,2,8,1522244871.4,1522244885.3,1522244916.3
6,32,4,1522244916.4,1522244929.9,1522244998.3
6,16,4,1522244998.4,1522245011.2,1522245080.7
6,8,4,1522245080.8,1522245088.9,1522245163.1
6,4,4,1522245163.2,1522245172.2,1522245252.2
6,2,4,1522245252.3,1522245265.4,1522245334.4
6,32,2,1522245334.5,1522245347.4,1522245498.6
6,16,2,1522245498.7,1522245510.8,1522245662.9
6,8,2,1522245663.0,1522245672.5,1522245826.7
6,4,2,1522245826.8,1522245836.1,1522245990.6
6,2,2,1522245990.7,1522246004.3,1522246153.2
6,32,1,1522246153.3,1522246166.0,1522246476.8
6,16,1,1522246476.9,1522246488.4,1522246799.6
6,8,1,1522246799.7,1522246807.2,1522247121.6
6,4,1,1522247121.7,1522247130.5,1522247443.2
6,2,1,1522247443.3,1522247457.1,1522247762.6
7,32,32,1522247762.7,1522247800.9,1522247793.0
7,16,32,1522247801.0,1522247838.3,1522247832.6
7,8,32,1522247838.4,1522247874.7,1522247869.0
7,4,32,1522247874.8,1522247910.1,1522247905.9
7,2,32,1522247910.2,1522247949.9,1522247940.2
7,32,16,1522247950.0,1522247987.4,1522247980.5
7,16,16,1522247987.5,1522248024.6,1522248018.8
7,8,16,1522248024.7,1522248056.7,1522248053.5
7,4,16,1522248056.9,1522248090.9,1522248087.1
7,2,16,1522248091.0,1522248127.9,1522248122.3
7,32,8,1522248128.0,1522248148.0,1522248176.6
7,16,8,1522248176.7,1522248193.2,1522248223.3
7,8,8,1522248223.4,1522248236.1,1522248268.5
7,4,8,1522248268.6,1522248279.1,1522248313.6
7,2,8,1522248313.7,1522248327.5,1522248358.0
7,32,4,1522248358.1,1522248371.5,1522248440.2
7,16,4,1522248440.3,1522248453.6,1522248522.2
7,8,4,1522248522.3,1522248532.3,1522248607.2
7,4,4,1522248607.3,1522248624.3,1522248695.0
7,2,4,1522248695.1,1522248712.3,1522248782.2
7,32,2,1522248782.3,1522248804.6,1522248945.7
