time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522213486.1,16043.5,976,3,10,640628,455,41597,113457358,19782,0,324,79140
1522213487.4,16590.7,1080,0,10,641603,455,41624,113458256,19878,0,324,79197
1522213488.8,16252.4,1179,6,80,642694,455,41668,113459197,19993,0,324,79290
1522213489.9,16059.1,877,4,10,643568,455,41676,113459964,20102,0,324,79334
1522213491.0,16071.9,87,2,10,644397,455,41683,113460796,20111,0,324,79342
1522213492.2,16223.7,76,2,66,645356,455,41704,113461750,20111,0,324,79362
1522213493.3,16027.1,99,3,192,646192,455,41709,113462603,20111,0,324,79384
1522213494.3,16097.0,127,3,174,647040,455,41716,113463460,20111,0,324,79396
1522213495.4,16159.5,91,2,97,647858,455,41720,113464291,20111,0,324,79401
1522213496.4,16015.2,117,2,10,648689,455,41725,113465131,20111,0,325,79407
1522213497.5,16119.2,93,0,10,649530,455,41730,113465975,20111,0,325,79414
1522213498.6,16072.9,100,0,68,650379,455,41737,113466825,20111,0,325,79422
1522213499.7,16074.2,84,2,10,651215,455,41742,113467671,20111,0,325,79428
1522213500.7,16132.2,129,3,203,652040,455,41746,113468510,20111,0,325,79432
1522213501.8,16055.9,100,0,50,652899,455,41752,113469376,20111,0,325,79446
1522213502.9,16046.0,99,2,18,653726,455,41756,113470224,20111,0,325,79455
1522213503.9,16058.9,104,0,28,654550,455,41761,113471061,20111,0,325,79465
1522213505.0,15944.9,123,0,34,655400,455,41767,113471916,20111,0,325,79473
1522213506.1,16103.4,74,0,43,656196,455,41772,113472760,20111,0,325,79480
1522213507.1,16029.5,97,2,10,657042,455,41777,113473608,20111,0,325,79489
1522213508.2,16029.7,115,3,10,657883,455,41782,113474457,20111,0,325,79501
1522213509.3,16018.6,95,1,136,658736,455,41788,113475316,20111,0,325,79512
1522213510.4,16093.1,94,2,10,659567,455,41794,113476157,20111,0,325,79519
1522213511.4,16045.5,88,0,10,660399,455,41798,113476998,20111,0,325,79526
1522213512.5,16042.7,110,0,74,661238,455,41804,113477844,20111,0,325,79531
1522213513.5,16030.8,124,0,28,662071,455,41808,113478685,20111,0,325,79540
1522213514.7,16103.7,92,3,15,662944,455,41820,113479559,20111,0,325,79555
1522213515.7,16030.1,98,1,50,663782,455,41826,113480406,20111,0,325,79569
1522213516.8,16108.4,122,0,22,664617,455,41831,113481249,20111,0,325,79577
1522213517.8,16031.5,82,2,203,665429,455,41833,113482074,20111,0,325,79581
1522213518.9,16014.7,79,2,65,666248,455,41836,113482906,20111,0,325,79585
1522213519.9,16007.1,99,0,29,667091,455,41843,113483755,20111,0,326,79592
1522213521.0,16024.6,119,2,10,667906,455,41846,113484579,20111,0,326,79598
1522213522.0,16096.7,87,3,208,668735,455,41850,113485421,20111,0,326,79604
1522213523.1,16074.3,104,2,206,669569,455,41854,113486262,20111,0,326,79610
1522213524.2,16055.5,102,2,25,670457,455,41864,113487150,20111,0,326,79624
1522213525.3,16028.5,100,2,55,671299,455,41871,113487995,20111,0,326,79635
1522213526.4,16078.8,100,1,220,672131,455,41875,113488832,20111,0,326,79639
1522213527.6,16042.0,74,1,18,673043,455,41893,113489778,20111,0,326,79656
1522213528.7,16032.2,114,0,45,673932,455,41898,113490667,20111,0,326,79682
1522213530.0,16095.2,164,4,402,674946,455,41925,113491676,20111,0,326,79746
1522213531.2,16287.3,96,2,28,675905,455,41942,113492629,20111,0,326,79789
1522213532.3,16035.9,118,1,43,676773,455,41952,113493495,20111,0,326,79799
1522213533.4,16037.4,132,3,236,677594,455,41955,113494325,20111,0,326,79803
1522213534.6,16021.5,101,0,10,678565,455,41982,113495289,20111,0,326,79838
1522213535.7,16012.0,45525,6,18,679312,455,42074,113496178,20111,0,326,79859
1522213536.8,16073.8,67938,3,111,679828,455,42227,113497116,20111,0,326,79887
1522213537.8,16038.0,312038,7,481,680248,455,42393,113498121,20111,0,326,79898
1522213538.8,16019.0,45691,664,126858,680400,455,42508,113499498,20111,0,326,79902
1522213539.9,16035.1,529,34,4348,680405,455,42609,113501036,20111,0,326,79903
1522213540.9,16029.7,46369,140,44237,680648,455,42699,113502223,20134,0,326,79937
1522213541.9,16052.8,67133,48,44805,680784,455,42796,113503472,20134,0,326,80016
1522213543.0,16031.0,88052,14,229255,681115,455,42924,113504600,20134,0,326,80043
1522213544.0,16040.2,4226,2,12691,681525,455,42950,113505830,20134,0,326,80045
1522213545.1,16022.8,4762,0,21296,681935,455,42976,113507056,20134,0,326,80048
1522213546.1,16034.0,4479,6,7256,682349,455,43001,113508214,20195,0,326,80050
1522213547.2,16086.8,4605,3,4512,682775,455,43079,113509301,20283,0,326,80056
1522213548.2,16032.1,3424,372,70824,683066,455,43148,113510603,20284,0,326,80062
1522213549.2,16011.5,1429,281,51140,683409,455,43160,113511894,20284,0,326,80062
1522213550.3,16017.8,70,1,44,683826,455,43164,113513140,20284,0,326,80064
1522213551.3,16101.1,69,1,34,684247,455,43168,113514395,20284,0,326,80068
1522213552.4,16017.9,107,2,10,684667,455,43173,113515648,20284,0,326,80069
1522213553.4,16033.7,93,0,28,685087,455,43177,113516901,20284,0,326,80072
1522213554.5,16035.4,111,2,239,685499,455,43179,113518133,20284,0,326,80074
1522213555.5,16037.1,79,1,203,685916,455,43182,113519377,20284,0,326,80075
1522213556.6,16034.8,108,2,233,686334,455,43185,113520624,20284,0,326,80076
1522213557.6,16016.7,156,5,10,686751,455,43188,113521869,20284,0,326,80078
